qn,ans
audrey ? oh audrey . . . .,u what u ?
sounds risky to me .,you getting cold feet ?
no . i guess you re here for the backpack .,oh . . . yeah .
are you sure ?,are you a believer then ?
as a matter of fact i am home .,hello .
indefinitely ?,i don t know .
yeah and um he used to hit me too .,uh hey does anyone wanna see my unit ?
brian i want him out of our car !,why what did he do ?
that s not what you said the u other u u night u,quiet sshhh ! !
it s possible .,well what do you think we ought to do about it ?
i ll catch up with you .,okay .
in a word bob . . .,charles is right behind me .
look go home . get some rest . take an aspirin .,yeah .
what an adorable hat .,they think i have a concussion .
but this is my car .,your hearse ?
be ready at two,should be one thirty .
so where do you know alan from ?,we play tennis at the club .
we gotta find a way outta here is what we gotta do !,it s about mars
i want you out of town before the hanging .,i ll be long gone .
do whatever they tell you,i mean follow orders sir .
he s in florida . palm beach .,when s he due back ?
yeah i heard that .,five seven eight dollars .
did you do your homework ?,if they launch it i know how to bring it back .
didn t you see her this morning ?,to tell you the truth i haven t seen her since friday .
you wanna see how fast i get a gun ?,you re out of money ?
mrs . mulwray ?,yes mr . gittes ?
yeah yeah sure .,let me look at your eye . . .
yes we do .,have you worked here long ?
mom he just fixed our car .,jackie get in the car . now !
mate in five .,exactly . . . and you did this .
hey !,i think this is worth a dollar .
weve still got the italian . . .,thats right . wheres the fucking italian eh mr french hero ?
no bother .,i called your house .
no mrs . lampert .,but no one actually saw him die .
need the disk back !,insurance .
you know what i think ?,what s that ed ?
you ve been alone together ?,yes .
am i missing something here ?,i went back there and dante was already waiting for me .
so tell calvin .,i did . he wants it on exhibit .
wasn t that general salazar ?,yeah .
i think it s fantastic .,you realize that you ve brought a killer into the house .
i think you should wear that .,you think so ?
are you sure ?,it s fine really sit .
here .,after the thanksgiving i had i need it . you having one ?
there s two of em lou !,yah ?
do any other daikinis ever come by here ?,why .
thank you .,you re welcome . where s my partner ?
he asked where you were ! he wants you with him .,i don t wanna go .
she s really a fox isn t she ?,did you pork her harry ?
man ?,yeah man male significant other whatever the fuck i am .
let me finish . can i finish ?,go ahead .
cynthia . john . meet me at my house in exactly one hour .,you are scum . i ll be there .
the bond is broken .,find her again .
this is crazy .,alright go crazy . let er rip .
how many ?,ten .
that has no place in this house .,i know .
no they didn t say,this way sir .
go ask him why don t you ? ask him yourself .,maybe i will one of these days .
oh yes the bonus .,it was for twenty five thousand dollars .
what ? !,pro ! release the rope !
so you were alone .,yes .
bullshit .,it s the only way you re gonna get ganz .
heard where ?,where i come from . boston .
no . i m visiting relatives .,oh that s nice .
what are you in for willie ?,that s a long story . . .
what s wrong with you tonight ? what is it betty ?,something came up . i don t want to talk about it .
u hey watch it u !,it s stable it doesn t hurt to drop it .
been here long ?,just since yesterday .
don t you ever see him ?,never .
you ain t heard from him ?,no i ain t .
oh . . . can i help you ?,well that depends . do you have a bathroom ?
jake i m going to ask you once was it self defense ?,honest to god emmett he would ve killed me .
where are you going ?,i m leaving .
i didn t get you ?,well it just doesn t happen anymore mrs . macneil .
can t take the heat get outta the kitchen .,you re the doctor . sad news friend .
tuna this is crap .,i know it s not the greatest . it s commercial .
bones ! . . .,one alive one not . yet both in pain .
relax . make your mind a blank .,it is a blank . this is no time for zen .
oh thank god i thought i was the only one .,well you re not . oil and vinegar ?
what took you so long ?,i just walked in .
it s over dick .,i ll concede in the morning .
have i forgotten something ? is this a special day ?,it s just a regular day .
did he hear you ?,you re breaking up . i can t hear you .
they forced me to take drugs .,forced you ! why would someone force you to take drugs ?
what s on your mind ?,nothing . heard you were in town .
we re safe !,no we re not .
things got ya down ?,real down .
i am .,a rose by any other name would
her headaches .,oh yes .
you joined up .,oh that .
i thought it was tremendous .,i think it went on rather too long .
i like you dil,give me a bit more baby a bit more .
have you cooked the burgers ?,yes .
how could this be happening ?,i don t know .
yeah . you look . . . great . i mean it . .,really ? lieutenant ?
what s that supposed to mean ?,i don t know .
i m sorry .,why ?
what is ?,i think you re one step away from cutting your ear off .
newspapers ?,no the typing kind .
how ?,i reprogrammed the simulation so it was possible to rescue the ship .
what happened in those three . . .,. . .we were trying to restore her heartbeat .
where ?,here in the canyon .
yes .,i guess you got enough today to last a lifetime huh ?
what ? what do you mean you,sue . . . look at your hands .
you might not kill it .,you think so .
you mean with the flowers . . . ?,what s it say ?
what s you depth cab three ?,. . . . . . . . . . . .
adele . . . are you serious ?,you think early s bad to me don t you ?
what is it ?,spock s burial robe .
did you hear the child out ?,well it seemed to me
not on duty sorry .,oh right .
oh sure . here this can be mommy .,do you like to be with your mommy ?
i haven t felt like it .,but not even before when he was living upstairs ?
yes . it s not a subtle point you re making .,okay then .
hi beautiful .,jesus ! don t do that !
romeo and ethel the pirate s daughter .,good title .
is julia here ?,upstairs . treat her gently huh ? she hates moving .
i can t leave the house ?,last time you were gone for a week !
bases loaded . there s a o page outline .,get the readers department and see what they have on bases loaded .
aren t these u illegal u ?,why would they be illegal ?
okay okay .,okay on the count of three .
as we near the pole . . .,there s got to be an explanation !
what about,we don t know .
jesus . . .,yeah . . . your car down here ?
what did they give you ?,a job . construction . twelve an hour .
don t forget the car wash .,i won t .
you were trying to make me look bad .,didn t have to try very hard .
no .,want a blow job ?
don t start .,you think i
somebody s taken it . i can t find it !,clark you want me to come in after you ? !
no . can t pretend that much .,i miss you jimmy .
ask if he said anything to her .,i will .
hurry !,they won t make it .
what are you doing in new york . . . ?,come on we ll get a cup of coffee . . .
yeah . to watch the world go by .,to put us back together again when we fall .
good night mom .,good night sweetheart .
you don t mean like a cheerleader ?,yes .
hey mikey he likes it ! ready for more ?,hell yes !
this one is particularly interesting . it s a hari kari blade .,ohhh . what s hari kari ?
yeah that .,yeah so what s wrong with that ?
lemonade ?,i prefer bourbon .
yeah .,close ranks ! goddamnit ! those sons of bitches !
he is that .,i hate to see any man swing . bad luck .
i guess your father s not a union representative on that company .,what ? how do you know about my father ?
quarter of twelve .,is she all right ?
haven t i seen you somewhere before ?,not very likely .
how soon is soon enough ?,couple of days . they ll examine you .
admiral i have a signal closing on the whales . bearing degrees .,on screen .
you workin on another book ?,yes i am .
sure you don t want to come with me ?,i can t . otherwise i would .
. . .i know this must look . . . funny .,no no
i was with the princess .,where ?
not that way ! through the door !,but sir !
i m being punished .,why ?
you really are a pirate .,can you believe it ?
that s right . what s she doing ?,well i i can t quite see . why she s crying .
right . now who is the person in california ? the connection ?,just a friend .
where d she go ?,out some place .
does he have the marked bills on him ?,in his inside coat pocket .
i know you re not talking to me . . .,i m sorry he s on medication . . .
alright roach see you around .,sorry about today man .
he s just exhausted .,that man is your father ? ! ?
shall i look after the rest ?,don t you dare i ll be back !
you re really into god right ?,in ten words or less ?
what were you doing in a library ?,i got lost . oh here . . . look at this !
laz ? can i sleep with you tonight ?,don t think that d be wise .
just to clarify,so boring so useless
no you didn t . but he did change . just not enough .,jamie you re not mad at me . you re mad at landon
when you are miss .,good then let s go !
he ll never speak to a gaiijin .,i ll be a nice gaiijin .
aye i do peter .,good .
moose .,first wedding anniversary what do you call it ?
at least once a week .,and you like that ?
so that was it .,yes . we knew him of course by his real name .
i told him that you all is sick .,tell him what you want muddy you is the crew boss today .
oh man . that s no glitch !,it s alright it s cool . . .
i ll make some for us .,i ll get my clothes .
just a little joke miss farmer .,this whole thing is a joke !
yesterday you were wondering about the wall . how it was possible .,now s not really the time to get into this
i ll make it worth your while .,it s a rule .
yes ?,see them two big trees across there ?
how you been ellis ?,you lookin at it . i got to say you look older .
do you remember the detonation time ?,detonation in twenty minutes .
now . . .where were we ?,a rope !
uh let s see here would you happen to have diss digg ?,whah ?
do you know where she is ?,she s out .
what ?,just go .
jeffrey i don t think you ought to do it .,why not ?
i ain t fuckin with you,hey . watch the mouth . watch it .
oh i had them removed .,what for ?
i m helping george build his house .,what ?
who s writing this dude s dialogue ?,he s a pretty good actor though .
which parts ?,the part where bianca beat the hell out of some guy .
can i help you ?,this your store ?
how long have i been here ?,three days .
gee i hope this doesn t make my cold any worse .,tell me about frank ligourin .
it was just a thing . the story made you laugh .,yeah that s a funny story .
don t need it i m a cat i ve got five lives .,the men said nine .
i m thinking of a movie .,one of mine ?
you called me jeffrey .,i did . are you ?
madox will have calculated how many miles they ll soon turn around .,oh my god the others !
i can use a drink after the plane ride i had .,your wife and children are back in new hampshire in the snow ?
great .,what ?
she say what time i should call ?,the sooner the better .
look i know a little bit about sharks .,do you ?
you d rather think about it and make yourself miserable ?,. . . yes .
where are they !,maybe
monescu !,gaston monescu .
push and twist it s child proof .,oh .
yeah . after i saw you last week .,at the block party ?
ask him .,what if i told you he did this to me ?
well uh . . .,you did ! !
are you okay ?,i think so . i was just taking a shower .
chasing what ?,money .
three .,i ll cut it in half . four guys but that s it .
. . .as long as you know it s not in your contract .,i know that .
c mon .,wait a second i
i was at hand .,well thank you very much . you can go now .
where the hell are we ?,carl do you know ? like on a map . . .
there s nothing crazy about that is there ?,no earl not at all . who sent you the flowers earl ?
well i have to see carl first .,carl who ?
he s a research doctor . you re dad s a doctor too,what kind of research ?
because you re probably the last person i ll ever talk to .,you can t give up .
otis payne was never embarrassed about a thing in his life .,dad
i don t mind . . .,relax . you ve done enough .
manages what ?,his escape .
i don t remember .,five feet ? seven feet ?
hence the word remarried .,my wife s dead .
oh geez .,failure to deliver a blue letter is grounds for dismissal .
i feel kind of light headed . . .,don t worry i ve got you .
dick weed !,butt munch .
how did they get away ?,they ran . as fast as they could . caught a train .
frank . . .,don t stop now ! please . . .
y know d ya think you an my sister ah doin good together ?,whatta you think ?
i m glad you ve come home conner .,me too .
lighten up .,i am lighten . can we drop this ?
pussy .,what s that mistake number two norman ?
the letter from john doe .,oh !
you re an hour and a half late .,so if i m so late how come you re still here ?
people liked him .,most people did yeah .
i can t help you anymore jimmy . i m sorry .,i m going to need a way to get there .
what ?,who got their heads cut ?
it s pretty hard to stay away from that word isn t is ?,you could see all the things he did couldn t you ?
no thank you sir we re fine .,so mark what s so urgent ?
oh come on now everybody,did you just hear what i just heard ?
be my guest .,i m right behind you .
is that your professional opinion ?,it s in the stars .
you said aloha twice .,aloha means hello and goodbye .
trust me . call that number .,why ?
maybe what ?,maybe i can do something right .
and you were the last one to talk to him .,yes .
goering . because hinkel was working for goebbels .,what did goering say ?
like songs ?,yeah they could be songs .
so what s my share of the dress ?,thirty two dollars .
how much do you weigh ?,. . . a hundred and eight ?
i think .,give me your checkbook then .
i wouldn t let happen .,you know you re a good kid .
daniel !,i m a plastic man ! a plastic man !
is that what you think i was thinking ?,no that s what i know you were thinking .
leave me alone .,no .
well then who did ? !,maybe it was colleen . . .
why did she say she was leaving ?,she didn t . she just left .
huh ?,a gat ! a gat ! got any fireworks on you ?
. . . the old man is getting weaker chance .,i see .
cause harlin used to own it .,but he s dead .
normal .,aren t you ever going to get married ?
picking on me won t help .,well if that s true then i m really in trouble .
what re you trying to say captain,you ll see soon enough get going sailor
let s say for example,this i had to see myself .
then don t .,but . . . what about starks ?
when are you coming home ?,tomorrow .
yes ?,central services .
well i m sorry .,forget it . i probably shit blood tonight .
i ll say .,don t be condescending .
you have to tell me,i said okay ?
. . .something about my u father u . . . ?,. . .what ?
defense against what ?,there s a war about to be declared or didn t you know ?
the nsa ?,yes .
you re a fucking alarm clock .,i just wish she d get here that s all .
i think that you have to be nicer to me .,go to bed .
what s this ?,now don t you go monk ing
i m surprised you aren t blind by now .,i m sorry . who are you ?
yes .,i never apologized properly for what happened on sunrise .
what if someone tries to steal it ?,i ll guard them and you with my life .
. . . look good on kimberly .,right . and then it didn t want to come off . exactly .
why not ?,something back home ?
why yes .,well
liza ?,did you kill him ?
ellen move aside . . .,oh god tommi . . .
you didn t ?,nope . my father s never clenched a fist in his entire life !
whaddya been so far ?,eddie you re a born loser .
ya learned good . so what s happening ?,that s a good question . what s the last thing you remember ?
annie goes to a great school .,im talking about the best schools in the country here kate . . .
okay .,good .
say hello to london for me . i miss her .,oh yes .
honey !,you know what i m saying joe ?
why ?,what a question dear with that newspaper in your hand . . .
. . . yeah then but . . .,so . . . ?
rich . . .,good morning walt .
i know she s there . don t fuck around with me .,uh i m not . sam i wouldn t . . .
that s even better .,but gentlemen i am afraid . . .
till then .,bless you
oh hello peter .,you re really good you know .
a twelve year old policeman came by the house this morning .,did you confess ?
yeah but you wouldn t have the truck if you blew it up .,true .
right away . will you have something mr . thompson ?,i ll have a highball .
was she married or something ?,yes .
i don t think i care to know .,she molested her !
see you monday .,see you monday .
why are you here now ?,they turned me loose from the state hospital .
son don t,bullshit bullshit dad we gotta get his money
for someone else . bodyguard . courier . . . whatever .,then you don t really know who he is do you ?
if you wanted to call me back i could . . .,i m fine i have your work number .
take it .,no .
yes .,how ?
how did you know my name ?,your uncle phil told me .
no . i d want to,good .
come on honey let s get out of here .,but i m having a good time . . .
i m afraid it is tess .,i ll have him call the moment i hear from him .
okay well that s something .,so we ve got guns kitchen knives pipes fire and sticks .
i don t think they make nikes in her size .,we re almost there lib . step on it .
watch it partner watch it !,the worst was blue .
okay .,come on . . .
i was parked in day parking .,why call me ?
what s that ?,hm ?
did you study for the test ?,test ?
shit .,go on .
is there dancing ?,no .
no . i was doing my laundry .,i m sorry i m on edge today .
none it s mine you said it earlier i m nuts .,i ve been saying that since we met .
yes .,how do you know annie ?
where d a sweet southern boy learn to fight like that ?,from my dad s side of the family .
i must grant him his last rites .,i don t take my orders from you not anymore .
yeah . . .,what do you do ?
i said . . .i didn t say . .anything !,then who did ?
this is the edge boy . this is the end .,yeah .
so you ll come to the wedding right ?,let s go tell your mother .
now what s this ?,give it to me !
you mean you think i m cracking ?,no . i didn t say that .
so am i .,listen i think i m hit bad .
i know ma but suppose a man got his money in bad ways,wouldn t profit him none .
would .,you couldn t .
in other words you want to get laid ?,not exactly . . .
but you know i should really be the one going .,why ?
four hundred ?,that s right .
you wouldn t .,how d you know i wouldn t ?
i did find him !,what do you mean ?
the one in brentwood .,what bank ?
and you got an invitation .,what s this ?
that d be nice .,i put on the lotion you got me . can you smell it ?
i see .,your foot ! give me your foot ! !
what about a little king pao chicken ?,no kung pao chicken . never .
shall we go on ?,he did it to make you stay with him !
no inner feeling .,that s right .
it s nothing .,sure it is . if the guards did this we can file charges .
just terrible ? that s better than yesterday at least .,how long have i been on gateway station ?
yeah ?,hell yeah .
sorry . trade secret .,sure . set me up and then don t tell me .
anything else i can get you ?,some cigars . case of beer .
tommy before you go i wonder if you gimme a little advice .,sure what ?
stay here .,why can t i go out there with you ?
you see ?,yeah no i see
how can you tell ?,you can see the outline of a butt .
so tell me about you and the chancellor .,what s to tell ?
i got a half a tank . you ?,little less .
my name is josephine .,and i m daphne .
i don t know if you d call it a boat . . .,something with an engine ? not oars ?
pritchett !,over here !
two people do . orson welles and me .,wow .
hey bert . wait a minute !,i said we re leavin .
what d he say ?,i couldn t make it out too much interference .
which show was that ?,sofie . . .
theres a reason i always tell that tony pee pants story you know .,trust me . this is bigger than tony pee pants .
it s ok .i know what you were feeling .,i can t imagine you crying .
aw come come come,no they won t honestly .
the same as always .,that bad huh ? where s leia ?
i don t like starlings .,why not ?
tomorrow night ? well,tomorrow morning .
what do you want ?,we d like to come in .
yeah . who does he think he is ? knight rider ?,who ?
why ? you wanna have sex or something ?,ooh ! can we ? !
honeymoon,honeymoon honeymoon
it s gone . i feel it !,so do i !
amen to that .,it s over dick .
i threw up .,that s okay . listen give me your hand .
there s always a surprise .,i ve covered everything . and you re the best so
she s there with you ? she s there with you ?,yeah she s here .
whaddaya mean you don t know ?,i don t know !
oh my lord !,experience !
hurry up now or it ll begin to get hot outside . . .,yes yes yes yes . . . right away . . .
shoulda brought my gun .,what ?
what re you doing down here ?,celebrating . join me ?
i am not .,how much can you bench ?
yes .,he is .
yes . he likes windows .,well i think windows stink . what do you think of that ?
he s not here .,i m sorry about zeus millie .
can t you stop it ?,if i could stop it i d stop it .
captain doyle ?,yeah ?
if it s a boy taylor .,a bit much . lucas .
i ll do this for you . fifteen thousand dollars .,machine s in ?
aren t you afraid of me ?,no .
will i believe you when you tell me something ?,there s nothing left for me to lie about .
was he unfaithful ?,no .
and senator paine too ma we d like to have him,certainly would joseph .
how soon,we encoded four minutes
have you ?,yeah .
do you have any witnesses major ?,what ?
what did i do ?,got me out of trouble .
what s the matter with you ?,what s the matter with you ?
bullshit .,no no no .
then i don t suppose it ll matter much to anyone but me .,i think it might also matter to mitch .
roy that s fine but i don t have time for this . bobo,i thought you d be happy for me . after all you
may i be quite frank with you ?,yes of course .
fine . you know dr . schwartz retired last month ?,no kidd n he musta been pushing !
i don t know .,what you mean you don t know ? just wait here .
are you u alright u . . . ?,i almost shot the u baby u . . .
she never left the apartment,then where is she in the ice box ?
why did you come in today ?,left my bag didn t have no money . . .
how old is that machine gun shit ?,three years .
turned that place completely around . degrees .,no kidding .
it s the squid ! stop it !,stop what ? what are you ?
hey what i did for you is working out ?,what you did changed my life .
what brings you out to the sticks ?,had a package to deliver .
ever do this from a jet ?,no .
he s the best you have . he s going top gun !,was .
well then how about a ruler ?,a ruler ?
i m really sorry .,what am i going to do ?
my patience is at an end .,yah .
helena i m so sorry,arnie thank god .
you think i put that bullet in the mailbox myself . . . ?,if we could take a look mr . wigand . . .
it s possible . i don t know about that .,i suppose your extended training was at an institution in that area ?
and as treasurer you could release those funds ?,when so ordered .
must be hundreds of these skeletons here .,so ?
do you see any family resemblance here ?,you can t stay kelly that s it . it s too dangerous .
i can t . i have to know .,please
so uh where are you in school ?,ridgeway high . how s henley hall gin ?
uh . . . randall ?,excuse me
you want my heart ?,it is my only object .
am not .,are too .
huh huh huh . i m ready for love .,me first ! me first !
investigator rimgale .,i need to get in the trunk .
oh hey lloyd why are you here ?,just wanted to see how your doing .
ted we ve only got ten minutes .,not now elaine .
supposed you dropped dead . what about your inventory ?,i ain t gonna die . not with a hit .
give it here bernard .,whoa check it out .
what s that ?,you said i was a lady in distress .
dante . . .,how many dicks have you sucked ? !
i don t have your number stop by the shop .,okay !
so what s the problem ?,there is no problem . did i say there was a problem ?
rob .,liz hold on a second what ?
so why the long face ?,it s esther . santa s got her .
really ?,never . . .
well it s very comfortable just to drift here .,have you thought about graduate school ?
if i fail you fail .,perhaps .
you don t enjoy killing do you ?,then why do it ?
what ?,but it s not enough !
it s a,sig sauer . . i love it .
huh ?,they re movin .
explain act crazy ?,curse and stuff .
i didn t knock julia off .,all right you didn t .
casey ? where are you honey ? call the police goddamnit .,the phone s dead .
if he were still alive maybe .,how about someone who really really liked shostakovich ?
what exactly do you mean ?,the message you left .
i ve seen it before .,other fuckin assholes like me .
i ll get your bags .,haven t any .
what is this a midnight study group ?,forget it pitts you re coming . meeks your grades hurting too ?
where s the stereo ?,fuck the stereo . what s that smell ?
conrad has the phone number . conrad where is he ?,in jail .
i don t understand .,you are still so very young .
i have of course observed the girl in treating her .,of course .
you know nick we can t lose .,why s that ?
yes but what sort of a man ?,i don t know .
i was thinking of selling all the cards .,really ? no kidding ?
what s your business ?,i m a professional killer .
no i couldn t .,but could you try ?
mm ?,look at me .
thank you vicki .,. . . where are you taking me ?
over the river .,have you got transport ?
well i got to nashville . that s pretty far .,next you ll be sick .
let him try .,of course right this way mr . malkovich . compliments of the house .
i don t know but you seem sort of distant .,let s just do it all right ?
what what did you do that for ? i didn t bite him .,no but you tried to .
he will come back .,excuse me ?
getting a little ambitious and extracurricular aren t we ?,go away .
there are a few things we want to check up on .,i see .
if you d like .,i wouldn t like .
you re using coconuts !,. . .what ?
see anything interesting ?,not yet .
audrey did you take the tape out of the camera ?,no .
how is it a farce ?,i seen your fucking face .
mind your own business father .,this is my business .
can we talk price ?,make me an offer .
you just fucked a total stranger ?,shut the fuck up !
be careful .,i will don t worry .
hey buzz ! ! you re flying ! !,this isn t flying . this is falling with style !
no .,it s very good . i understand you won the booker prize .
christ .,you didn t !
wow you re goin to hawaii that s great you re goin ?,yeah but you can t tell my sisters that .
can t you find somebody else ?,its too late .
but not that u way u . . .,but we . . .
i know the feeling .,well you know you know that s a lie i i . . .
how much time ?,an hour two at most .
stan . . . i think you and i need some time apart .,u what ? ! u
you gotta promise to feed her .,i will .
goddamn you ! you son of a bitch !,there you go sweet talking me again .
yes .,and ?
you mean the i times i guy ?,which i times i guy ?
for whom and for what ?,for what makes the world go round . for money and for glory .
could your confess to father patrick from now on ?,of course .
and you think it s worth all this ?,if i didn t i wouldn t put you through it .
i don t get you bruce wayne .,me ? i m easy . especially after a couple of martinis .
t t thanks alice . . .,earth to alice . . .
do i have to talk to those two ?,my boss and your boss . sure .
you re a fool .,maybe .
i don t want to erase anything .,you d rather think about it and make yourself miserable ?
not bad . i just won the state lottery .,good . good .
so you re coming tonight right ?,yes indeed yes i am .
like u what u ? !,the secretary . or the file clerk .
i guess you knew that anyway .,i suspected as much .
are you solid with that ?,no . i think it s fucked .
pete you re through !,what do you mean through ?
he heard that .,good .
save your mischief for the black baron .,aye ! that too .
all right so it s buried with you !,what if one hasn t a soul any more ? what of that ?
you sure ? i thought the rag had to touch ?,i m sure .
i m going with you .,she said alone suite . it ain t gonna take long .
was it reasonable ?,yah not too bad . so it s nice up there ?
sorry .,don t let it happen again .
iraqis .,oh god !
who ? !,michael meyers !
come on dignan .,don t come on dignan me .
holy shit i don t know .,did you get rid of mark ?
people can see .,and that would ruin your reputation how ?
like the dress . . . ?,its lovely . . .
they re your favorite flower .,how did you get so many ?
toss im overboard !,no no no wait !
it s like carrying a monkey around on your back .,a question of who rides who .
what a thoughtful ever lovin thing to do,bill ? have i gone crazy bill ?
we took to the rock .,why ?
but if it wasn t for dignan i probably would of died .,yes . . . it s true .
hi . . . what s up ?,can i come in ?
i am well admiral .,you will be in good hands here .
luck .,war .
i m so very sad .,why ? we did pretty well wouldn t you say ?
i m gonna try and get us across the border .,no dad you gotta tell em that they re back there .
you slipped on a t transfer just before lunch didn t you ?,what ?
baxter ?,yes sir .
the point was to love each other .,why ?
don t be condescending .,come on get up . i ll buy you a drink .
with pleasure madame !,get out of here .
you ve talked to billy ?,i did .
let s get him out of here . . .,finish the job . . .
i m not dressed .,listen to me . i m a good friend of jack foley .
can i uh help you gentlemen ?,gentlemen that s nice .
so how d he finally nail you ? right there in the kitchen ?,no he picked me up .
i don t see my container .,you try anything it goes in . . .
forget it .,what do you want to do ?
five . on credit .,this ain t a credit business .
eli . why can t you remember their names ?,they re weird names .
what kind of egg is it ?,it s reptilian .
hold it hold it . what s tonight ?,what ?
that s not what i heard .,what was that then ?
never one .,oh jesus ! you re kiddin !
this is great this gives me hope . thanks .,alright . key ?
oh my god sorry . i m interrupting .,i ll be right out .
you could have just flashed him your badge you know ?,authority still makes me nervous .
web died fighting ?,died a hero .
this gun yours ?,no .
collins is a great man !,now you see why he was elected principal ?
and tell me that she s happy .,oh dmitri .i wish that i could .
not bad jerome .,how the hell did you get here .
god the live ones smell worse tan the dead ones .,okay now how far s your truck ?
i wish i could rebecca but i can t let you .,i don t understand that sheriff young .
i know you . how come you re so tense today ?,what can i tell you ?
looking for you .,no really .
ohh !,you know .
you need collateral .,like this ?
yeah and nothing else . that shock you ?,i m a scientist . i like doing research on certain nocturnal activities
carl can wait .,johnny my dad s home today .
so call her up . tell her don t talk to any cubans .,her phone s probably tapped .
are you pulling my leg ?,something like that .
you ve got a u phone u ?,doesn t everybody ?
put your arms around me .,excuse me ?
don t let them take me steve,i won t let anybody take you .
but she must be able to move . everything is in place .,she would if she could .
what happened ?,he fell . he falls .
what ? you re not going to wait for me ?,george i went to the doctor . i don t have two years .
pull them back !,everyone back .
what okay ?,what !
an embolism in a pool .,an embarrassing way to die .
in which case i ll just do what i usually do .,and that is ?
do i know you ?,we have some mutual friends in washington .
maurice ?,yes .
i thought you were getting me a drink ?,just a minute .
ok we ll go for lunch .,do you have enough ?
i hate outside ! i hate it !,we ll be all right . . . we will . . .
you ? what do you mean you i thought . . .,it was hard to have him killed .
not particularly .,right s right goddamnit ! don t you care what s right ?
kind of isolated .,yeah . it s kind of nice .
ready sir .,go mr . sulu .
i m sorry . at least it don t look like he suffered .,ellie will though . she ll suffer plenty .
i put her to bed .,oh . i got your cigarettes .
thank you miss boatwright .,when you read it we ll talk about it . . .
load of bullshit .,we ll see . let s try clark .
what word would you use elaine ?,the word is sick . ted very very very sick .
shut up ! !,. . . upon this your servant regan teresa macneil .
but if he d been sent to jail there would be no jody .,so i should feel happy that he got away with it ?
nothing .,that s a rifle you have ?
i didn t know they had a fight .,well thanks . we ll call you when we need you again .
mm hm . . okay good . i ll call you right b,right away .
you will what ?,i will loan you the money .
no .,was granma bad ?
maybe he s scared of the dark .,are you ?
now there s the deirdre i know .,and what s that supposed to mean seamus reilly ?
are they on the radio ?,naw . but they will be . they re the best .
michael . . . .,okay okay . close your door .
see you duff .,yeah see you in hell .
how much does it cost ?,thirty five dollars .
can you get me that ring back ?,no .
absolutely correct .,could you tell us a little about it ?
dad . . .,oh . . .
twisted ?,you know what ?
well i m as human as the next man .,i was the next man .
no we re just . . .,we re just talking about it .
i have an idea working in my head . . .,you might find a bullet through that head . . .
we have an arrangement now .,what side of the industry did you say you were on ?
round up who you can and put them on standby .,think we should call the local p .d . out there first ?
he s right . we hit the bricks we walk back triple fucked .,i can t believe i m hearing this
okay then . go to it . and charlie,yeah ?
well bright eyes is our throat feeling better ?,listen listen i can speak
what are you doing in new york . . . ?,come on we ll get a cup of coffee . . .
yes ?,mozart is writing a new opera . an italian opera .
look at me .,oh i am baby believe me .
i heard that .,dodge you gotta get on those repairs .
that s the way he is .,yeah . it s just like i figured .
silence ? no talking ? all day ?,until sundown .
are you serious ? my boyfriend ditched me . . .,ditched you ?
do they know them ?,no but i think i do .
don t move . it won t hurt you .,how do you know ?
dinner s in the warmer . tell your father i may be late .,where are you going ?
that was nothing compared to this humiliation nothing .,but he saw you right ?
dear god . i ve failed again haven t i ?,no . . .
it s just us now .,i know .
yes .,yes what ?
i said police . now drop the goddamn gun .,don t give me that police shit . you drop it .
i meant about my idea .,i think it s time we got some professional help .
no .,you like kids .
we re asking you to go to prison .,but i ve never served a day .
yes .,do you follow or should i speak slower ?
martins .,you a friend of lime s ?
yeah well he did didn t he .,please ted . i never would have brought it up if i thought
that was pretty cold dude .,what was cold about it ?
shit !,freeze ! !
how could i ruin myself ? what do you mean ruin myself ?,i don t know . excessive masturbation ?
see you downtown .,yeah . see you there .
he s gone .,gone ?
bye aunt rose .,bye niece vada .
harvard . the harvard business school .,your address ?
and we re here on the couch . . .,don t say that . . .
yes o reilly ?,how you radar ?
joe don t do this,it s time to put this person where he belongs .
you like to sit down ?,thanks .
is this some kind of a joke ?,more of a game really .
yeah .,yeah . the fuck do you know ?
this is pretty good . considering . . .,thanks .
looks like about a mile . reckon she ll make it ?,she got to make it .
hi mom .,shari ray feels
woodsman ?,the one with the ax ?
not really . how long are you here for ?,i m here for the week .
how much money ?,shelly said it was over two million dollars .
salt s good for you ted . helps you from getting impotent .,impotent ? i m not impotent .
okay . okay . i believe you .,you killed her !
i don t do that kind of thing .,then don t complain .
you said that ?,well i said lady please we re on a bridge . . .
no wallet huh ?,no identification at all . what re you thinkin cecil ?
nothing nothing . i just want to invite him to tea .,tea ?
i . . .,what . . . ?
what more proof do you need ?,tell me what happened on april th years ago .
u it s uncanny u .,what s uncanny ?
back a buck .,kick a buck .
i was lost .,. . .and you re not lost now ?
where to ?,kennedy .
he was hurt but not seriously . he ll be fine .,do you have the suspect in custody ?
c est bon monsieur .,merci !
then a little nap,how do you like my dress ?
he s got great hands .,hey i love gloves i look really great in gloves .
good morning alexander . feeling up to some work ?,i suppose so .
so i hear do you know some of the stage hands ?,sure they are students .
she s just standing around not doing much .,just don t fall asleep . sooner or later something s gonna happen .
yes i could stay here . thank you .,fine . would you like me to speak to your personal physician ?
joey never told you we went out did he ?,what ?
anything ?,anything .
parry .,parry . . . i m jack .
